Data,latitude,longitude,confidence
2022-11-03,-22.9883,-43.1906,0.0
2022-09-23,-22.3581,-49.0289,32.0
2021-10-01,-20.2708,-40.3058,0.0
2019-04-23,-20.4472,-54.7226,50.0
2020-06-27,-8.0593,-34.9592,39.0
2020-06-04,-10.9524,-37.0543,0.0
2023-10-02,-7.1653,-34.8156,49.0
2020-07-04,2.8169,-60.6908,0.0
2021-02-26,-15.5593,-56.063,77.0
2023-08-19,-20.2708,-40.3058,0.0
2024-04-26,-16.6428,-49.2203,78.0
2024-04-12,-19.98,-43.9586,44.0
2023-01-16,-22.3581,-49.0289,32.0
2022-02-20,-20.2708,-40.3058,0.0
2022-09-12,-27.6025,-48.6201,63.0
2023-08-30,-5.0347,-42.8014,62.0
2021-09-04,-27.6025,-48.6201,63.0
2020-03-18,-22.3581,-49.0289,32.0
2023-11-22,-3.8158,-38.5378,80.0
2021-01-25,-3.8158,-38.5378,80.0
2024-06-26,-3.1033,-60.0164,37.0
2022-01-17,-2.5267,-44.2136,68.0
2022-10-03,2.8169,-60.6908,0.0
2021-02-12,-30.0536,-51.1747,82.0
2022-08-24,-22.9883,-43.1906,0.0
2021-09-12,-22.3581,-49.0289,32.0
2020-09-23,-16.6428,-49.2202,78.0
2020-12-01,-8.0593,-34.9592,39.0
2022-07-26,-3.8158,-38.5378,80.0
2024-06-15,-10.9525,-37.0544,0.0
2020-05-01,-10.1907,-48.3018,69.0
2020-01-28,-9.5511,-35.7703,64.0
2021-02-01,-25.4486,-49.2306,79.0
2022-11-16,-3.1033,-60.0164,37.0
2020-12-20,-9.5511,-35.7703,64.0
2022-02-13,-16.6428,-49.2202,78.0
2024-08-07,-7.1653,-34.8156,49.0
2021-04-24,-15.5593,-56.063,77.0
2023-07-15,-8.7936,-63.8458,72.0
2020-04-24,-20.4472,-54.7226,50.0
2022-10-19,-5.8372,-35.2081,26.0
2024-01-27,2.8169,-60.6908,0.0
2021-05-18,-19.98,-43.9586,44.0
2019-02-04,-16.6428,-49.2202,78.0
2021-06-01,-22.3581,-49.0289,32.0
2020-01-26,-25.4487,-49.2306,79.0
2022-07-03,-20.2708,-40.3058,0.0
2021-04-14,-30.0536,-51.1747,82.0
2021-08-09,-5.8372,-35.2081,26.0
2024-03-30,-22.3581,-49.0289,32.0
2019-09-28,-22.9883,-43.1906,0.0
2022-06-13,-7.1653,-34.8156,49.0
2023-05-20,-1.4112,-48.4395,27.0
2023-05-23,-5.0347,-42.8014,62.0
2019-05-31,-22.9883,-43.1906,0.0
2019-07-19,-9.9578,-68.1652,71.0
2024-02-29,-25.4486,-49.2306,79.0
2022-02-26,-25.4486,-49.2306,79.0
2023-05-18,-10.9525,-37.0544,0.0
2021-03-02,-3.8158,-38.5378,80.0
2023-12-25,-25.4486,-49.2306,79.0
2022-10-12,-10.1478,-48.3144,75.0
2024-07-19,-10.1478,-48.3144,75.0
2021-03-22,-20.2708,-40.3058,0.0
2019-04-19,-22.9883,-43.1906,0.0
2024-06-23,-20.2708,-40.3058,0.0
2019-03-07,-2.5268,-44.2136,68.0
2019-03-22,-9.5512,-35.7702,64.0
2019-05-17,-16.6428,-49.2202,78.0
2019-10-16,-20.2711,-40.3061,0.0
2021-10-09,-3.8158,-38.5378,80.0
2020-05-21,-10.1907,-48.3018,69.0
2020-06-30,-3.8157,-38.5378,80.0
2022-04-18,-2.5267,-44.2136,68.0
2019-08-14,-22.3581,-49.0289,32.0
2019-09-21,2.8169,-60.6908,0.0
2023-01-15,-10.9525,-37.0544,0.0
2020-09-04,-20.4472,-54.7226,50.0
2022-05-04,-5.8372,-35.2081,26.0
2023-09-07,-3.1033,-60.0164,37.0
2019-08-24,-10.9524,-37.0543,0.0
2022-01-05,-9.5511,-35.7703,64.0
2019-12-23,-22.3581,-49.0289,32.0
2024-05-21,-19.98,-43.9586,44.0
2021-05-29,-2.5267,-44.2136,68.0
2021-12-03,-22.9883,-43.1906,0.0
2019-10-14,-5.0348,-42.8013,62.0
2020-11-11,-27.6025,-48.6201,63.0
2024-03-06,-5.0347,-42.8014,62.0
2023-04-21,-27.6025,-48.62,63.0
2019-04-29,-22.9883,-43.1906,0.0
2023-06-08,2.8169,-60.6908,0.0
2020-09-21,-22.3581,-49.0289,32.0
2022-08-22,-3.1033,-60.0164,37.0
2021-09-12,-20.2708,-40.3058,0.0
2024-01-11,-7.1653,-34.8156,49.0
2020-08-27,-20.4472,-54.7226,50.0
2019-04-04,2.8169,-60.6908,0.0
2024-08-03,-15.6069,-56.0608,65.0
2022-02-25,-3.8158,-38.5378,80.0
2024-06-07,-15.7894,-47.9258,84.0
2019-09-04,-10.1907,-48.3018,69.0
2021-08-28,-9.5511,-35.7703,64.0
2019-12-03,-1.4112,-48.4395,27.0
2019-01-01,-5.8372,-35.2081,26.0
2019-11-13,-10.1907,-48.3018,69.0
2021-03-01,0.035,-51.0889,86.0
2019-07-31,-5.8372,-35.2081,26.0
2019-08-05,-22.9883,-43.1906,0.0
2020-07-27,-5.8372,-35.2081,26.0
2019-03-02,-1.4112,-48.4395,27.0
2022-03-19,-10.1478,-48.3144,75.0
2023-03-27,-20.4472,-54.7226,50.0
2020-09-08,-30.0536,-51.1747,82.0
2019-02-09,-22.9883,-43.1906,0.0
2023-04-06,-1.4112,-48.4395,27.0
2023-03-08,-7.1653,-34.8156,49.0
2024-01-29,-30.0536,-51.1747,82.0
2021-02-17,-15.7894,-47.9258,84.0
2023-10-28,-5.0347,-42.8014,62.0
2019-03-15,-30.0535,-51.1748,82.0
2023-01-21,-10.9525,-37.0544,0.0
2020-01-20,-9.9578,-68.1653,71.0
2023-12-27,-7.1653,-34.8156,49.0
2023-06-19,-9.5511,-35.7703,64.0
2023-10-23,-22.3581,-49.0289,32.0
2022-06-20,2.8169,-60.6908,0.0
2020-07-13,-22.3581,-49.0289,32.0
2023-11-09,-19.8839,-43.9694,78.0
2020-05-08,-20.2708,-40.3058,0.0
2021-12-10,-5.0347,-42.8014,62.0
2024-03-03,-30.0536,-51.1747,82.0
2023-01-27,-22.9883,-43.1906,0.0
2019-01-03,-22.3581,-49.0289,32.0
2021-07-17,-10.9525,-37.0544,0.0
2020-12-22,-5.8372,-35.2081,26.0
2019-07-06,2.8169,-60.6908,0.0
2024-01-15,-10.1478,-48.3144,75.0
2020-06-19,-19.98,-43.9586,44.0
2023-08-13,-30.0536,-51.1747,82.0
2022-12-11,-27.6025,-48.6201,63.0
2021-08-25,-22.9883,-43.1906,0.0
2024-03-09,-20.4472,-54.7226,50.0
2021-10-16,-30.0536,-51.1747,82.0
2022-03-15,-3.1033,-60.0164,37.0
2022-12-02,-19.98,-43.9586,44.0
2021-07-06,-25.4486,-49.2306,79.0
2019-10-11,-10.9524,-37.0543,0.0
2021-03-05,-30.0536,-51.1747,82.0
2022-02-01,-15.7894,-47.9258,84.0
2023-05-04,-3.1033,-60.0164,37.0
2021-05-23,-15.5593,-56.063,77.0
2019-11-09,-9.9578,-68.1652,71.0
2019-06-21,-8.7937,-63.8459,72.0
2022-02-17,-10.1478,-48.3144,75.0
2019-06-04,-1.4112,-48.4395,27.0
2021-05-09,-19.98,-43.9586,44.0
2021-08-11,-5.8372,-35.2081,26.0
2022-11-13,-15.5593,-56.063,77.0
2022-04-28,-3.1033,-60.0164,37.0
2023-03-18,-3.1033,-60.0164,37.0
2023-01-31,2.8169,-60.6908,0.0
2019-05-08,-22.3581,-49.0289,32.0
2020-10-22,-5.8372,-35.2081,26.0
2020-10-21,-15.5593,-56.063,77.0
2020-09-07,-22.3581,-49.0289,32.0
2021-04-08,-3.1033,-60.0164,37.0
2022-11-30,-16.6428,-49.2202,78.0
2019-08-08,-20.4472,-54.7226,50.0
2024-03-13,-15.6069,-56.0608,65.0
2021-12-05,-9.5511,-35.7703,64.0
2020-12-28,-16.6428,-49.2202,78.0
2023-04-28,-27.6025,-48.62,63.0
2020-04-08,-20.4472,-54.7226,50.0
2023-01-18,-30.0536,-51.1747,82.0
2021-06-20,-22.9883,-43.1906,0.0
2022-09-06,-10.1478,-48.3144,75.0
2021-10-19,-2.5267,-44.2136,68.0
2019-12-17,-22.3581,-49.0289,32.0
2019-10-21,-30.0535,-51.1748,82.0
2022-04-11,-1.4112,-48.4395,27.0
2022-09-30,0.035,-51.0889,86.0
2019-06-19,-5.8372,-35.2081,26.0
